City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,88,75,6.91,broken clouds
80,Ajaccio,FR,42.0,8.9167,69.85,64,0,5.75,clear sky
81,Oppdal,NO,62.5943,9.6912,56.77,91,99,5.48,overcast clouds
82,Antalaha,MG,-14.9003,50.2788,67.95,92,97,5.84,light rain
83,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,100,15.77,light rain
84,Colquechaca,BO,-18.6667,-66.0167,27.25,63,12,3.96,few clouds
85,Sherghati,IN,24.5667,84.7833,78.42,93,97,7.99,overcast clouds
86,Te Anau,NZ,-45.4167,167.7167,51.13,80,100,1.59,overcast clouds
87,Pisco,PE,-13.7,-76.2167,63.01,82,90,10.36,overcast clouds
88,Itupiranga,BR,-5.1347,-49.3267,76.12,51,1,0.65,clear sky
89,Nuuk,GL,64.1835,-51.7216,48.81,81,0,9.22,clear sky
90,Nhulunbuy,AU,-12.2333,136.7667,83.01,65,0,9.22,clear sky
91,Lata,PT,40.1629,-8.3327,61.81,98,29,1.74,scattered clouds
92,Saskylakh,RU,71.9167,114.0833,80.92,39,24,6.2,few clouds
93,Severo-Yeniseyskiy,RU,60.3725,93.0408,54.37,88,100,1.32,overcast clouds
94,Margate,GB,51.3813,1.3862,61.3,80,100,4.0,overcast clouds
95,Maceio,BR,-9.6658,-35.7353,71.04,100,0,2.3,clear sky
96,Zhezkazgan,KZ,47.8043,67.7144,63.52,59,0,7.45,clear sky
97,Hofn,IS,64.2539,-15.2082,51.3,92,79,2.77,broken clouds
98,Mahebourg,MU,-20.4081,57.7,69.26,83,75,25.32,light rain
99,Shellbrook,CA,53.2168,-106.4011,78.03,24,100,12.53,overcast clouds
100,Cherskiy,RU,68.75,161.3,37.92,64,100,20.6,overcast clouds
101,Port Moresby,PG,-9.4431,147.1797,83.62,74,75,3.44,haze
102,Rust,DE,48.2667,7.7333,65.21,75,0,1.19,clear sky
103,Namibe,AO,-15.1961,12.1522,63.81,81,2,0.11,clear sky
