City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Zolotukhino,RU,2021-07-27 19:44:10,52.0842,36.3772,71.67,54,62,2.57
59,Kapaa,US,2021-07-27 19:42:17,22.0752,-159.319,82.72,77,75,5.01
60,Olinda,BR,2021-07-27 19:44:11,-8.0089,-34.8553,78.53,69,40,6.91
61,Tignere,CM,2021-07-27 19:44:11,7.3667,12.65,62.91,98,100,2.46
62,Thompson,CA,2021-07-27 19:44:07,55.7435,-97.8558,77.16,50,75,5.75
63,Hambantota,LK,2021-07-27 19:44:12,6.1241,81.1185,80.56,78,100,18.05
64,Cape Town,ZA,2021-07-27 19:43:47,-33.9258,18.4232,56.88,87,90,4.0
65,Bac Lieu,VN,2021-07-27 19:44:12,9.285,105.7244,79.97,82,5,11.36
66,Leningradskiy,RU,2021-07-27 19:44:12,69.3833,178.4167,34.77,97,100,6.73
67,Geraldton,AU,2021-07-27 19:44:13,-28.7667,114.6,62.13,72,75,8.05
68,Castro,BR,2021-07-27 19:44:13,-24.7911,-50.0119,54.91,95,100,8.86
69,Lebu,CL,2021-07-27 19:44:13,-37.6167,-73.65,48.85,71,0,25.17
70,Port Alfred,ZA,2021-07-27 19:44:14,-33.5906,26.891,71.38,28,4,20.74
71,Polunochnoye,RU,2021-07-27 19:44:14,60.8697,60.4153,46.67,77,100,6.24
72,Menongue,AO,2021-07-27 19:44:14,-14.6585,17.691,53.8,36,0,5.57
73,Merauke,ID,2021-07-27 19:39:29,-8.4667,140.3333,75.54,91,94,10.2
74,Avarua,CK,2021-07-27 19:44:15,-21.2078,-159.775,77.05,69,20,4.61
75,Vila,PT,2021-07-27 19:44:03,42.0304,-8.1588,65.75,61,0,4.09
76,Ribeira Grande,PT,2021-07-27 19:44:15,38.5167,-28.7,75.6,73,20,11.5
77,Magalia,US,2021-07-27 19:44:15,39.8121,-121.5783,76.53,50,99,3.0
78,Erenhot,CN,2021-07-27 19:44:16,43.6475,111.9767,71.1,57,100,8.32
79,Martapura,ID,2021-07-27 19:44:16,-3.4167,114.85,75.29,94,58,2.3
80,Solone,UA,2021-07-27 19:44:16,48.2081,34.8721,73.45,56,18,4.92
81,Robertsganj,IN,2021-07-27 19:44:17,24.7,83.0667,76.19,93,100,10.36
82,Arraial Do Cabo,BR,2021-07-27 19:44:13,-22.9661,-42.0278,93.16,61,0,11.5
83,Moerai,PF,2021-07-27 19:44:17,-22.4333,-151.3333,73.99,75,93,10.65
84,Itarema,BR,2021-07-27 19:44:17,-2.9248,-39.9167,80.92,70,20,17.29
85,Aksarka,RU,2021-07-27 19:44:18,66.5606,67.7975,48.65,96,100,6.62
86,Dikson,RU,2021-07-27 19:43:56,73.5069,80.5464,43.16,100,100,16.67
87,Cortes,ES,2021-07-27 19:44:18,41.9395,-1.4396,86.61,60,98,20.83
88,Tuktoyaktuk,CA,2021-07-27 19:44:17,69.4541,-133.0374,50.0,76,90,6.91
89,Murakami,JP,2021-07-27 19:44:19,38.2333,139.4833,70.03,95,99,1.9
90,Esmeraldas,BR,2021-07-27 19:44:19,-19.7625,-44.3139,81.64,27,5,5.48
91,Ekuvukeni,ZA,2021-07-27 19:44:19,-28.4675,30.1551,50.36,29,1,7.09
92,Barrow,US,2021-07-27 19:44:19,71.2906,-156.7887,44.62,88,90,12.66
93,Havre,FR,2021-07-27 19:44:20,49.5833,0.3333,64.44,77,90,13.8
94,San Quintin,MX,2021-07-27 19:44:20,30.4833,-115.95,76.37,66,1,12.08
95,Hobart,AU,2021-07-27 19:43:50,-42.8794,147.3294,55.92,68,75,4.0
96,Upernavik,GL,2021-07-27 19:44:21,72.7868,-56.1549,49.69,78,100,8.5
97,Mahibadhoo,MV,2021-07-27 19:44:21,3.7833,72.9667,82.24,77,100,12.33
98,Soledade,BR,2021-07-27 19:42:49,-28.8183,-52.5103,43.38,57,39,11.21
99,Ponta Do Sol,PT,2021-07-27 19:44:21,32.6667,-17.1,75.7,70,2,4.16
100,Aurangabad,IN,2021-07-27 19:40:37,19.8833,75.3333,73.58,82,100,11.43
101,Valparaiso,CL,2021-07-27 19:44:22,-33.0393,-71.6273,62.83,55,0,12.66
102,Kimbe,PG,2021-07-27 19:44:22,-5.5502,150.1429,74.71,91,4,3.02
103,Ponta Delgada,PT,2021-07-27 19:44:22,37.7333,-25.6667,70.52,94,75,13.8
104,Sao Joao Da Barra,BR,2021-07-27 19:41:36,-21.6403,-41.0511,80.69,81,0,17.22
105,Avera,US,2021-07-27 19:44:12,33.194,-82.5271,93.25,56,97,3.74
106,Morro Bay,US,2021-07-27 19:44:23,35.3658,-120.8499,95.38,60,18,5.99
107,Souillac,MU,2021-07-27 19:44:23,-20.5167,57.5167,67.35,100,75,11.5
108,Hilo,US,2021-07-27 19:42:04,19.7297,-155.09,80.33,81,90,5.75
109,Buala,SB,2021-07-27 19:44:24,-8.145,159.5921,79.65,84,90,9.66
110,Pisco,PE,2021-07-27 19:44:24,-13.7,-76.2167,69.03,73,13,8.05
111,Guantanamo,CU,2021-07-27 19:44:25,20.1444,-75.2092,90.97,50,100,7.74
112,Portland,US,2021-07-27 19:42:52,45.5234,-122.6762,89.94,48,75,6.91
113,Zhigansk,RU,2021-07-27 19:44:25,66.7697,123.3711,50.16,75,7,13.0
114,Longyearbyen,SJ,2021-07-27 19:44:25,78.2186,15.6401,44.44,87,75,13.8
115,Hofn,IS,2021-07-27 19:44:26,64.2539,-15.2082,53.94,84,86,4.36
116,Winburg,ZA,2021-07-27 19:44:26,-28.518,27.0093,41.13,46,0,4.25
117,Taoudenni,ML,2021-07-27 19:44:26,22.6783,-3.9836,106.16,6,20,10.16
118,Teknaf,BD,2021-07-27 19:41:03,20.8624,92.3058,79.41,92,100,12.55
119,Blagoyevo,RU,2021-07-27 19:44:27,63.3667,47.9167,47.48,75,100,7.14
120,Shambu,ET,2021-07-27 19:44:27,9.5667,37.1,51.48,96,100,0.34
121,Chokwe,MZ,2021-07-27 19:44:27,-24.5333,32.9833,60.24,67,0,6.38
122,Parsabad,IR,2021-07-27 19:44:28,39.6482,47.9174,80.92,54,40,13.8
123,Asasa,ET,2021-07-27 19:44:28,7.1,39.2,55.96,89,100,4.99
124,Prince Rupert,CA,2021-07-27 19:41:28,54.3161,-130.3201,60.89,74,90,2.3
125,Egvekinot,RU,2021-07-27 19:44:28,66.3167,-179.1667,40.93,91,100,9.08
126,Fortuna,US,2021-07-27 19:44:29,40.5982,-124.1573,77.18,100,90,0.0
127,Karratha,AU,2021-07-27 19:44:29,-20.7377,116.8463,69.3,79,3,7.25
