City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bell Ville,AR,-32.6259,-62.6887,44.58,44,0,8.37,clear sky
80,Airai,TL,-8.9266,125.4092,68.2,46,28,3.44,scattered clouds
81,Mahebourg,MU,-20.4081,57.7,69.26,83,75,25.32,light rain
82,Labytnangi,RU,66.6572,66.4183,50.04,92,100,8.61,moderate rain
83,Broken Hill,AU,-31.95,141.4333,55.62,37,67,21.3,broken clouds
84,San Patricio,US,28.017,-97.5169,91.49,52,46,13.56,scattered clouds
85,Galveston,US,29.3669,-94.9669,91.15,77,20,1.99,few clouds
86,Sokoto,NG,13.0609,5.239,79.7,71,48,7.49,scattered clouds
87,Sobolevo,RU,54.4299,31.8996,63.39,97,98,3.8,light rain
88,Tuatapere,NZ,-46.1333,167.6833,49.82,78,100,2.82,heavy intensity rain
89,Talnakh,RU,69.4865,88.3972,59.88,79,98,3.87,overcast clouds
90,Margate,GB,51.3813,1.3862,61.3,79,56,1.01,broken clouds
91,Ancud,CL,-41.8697,-73.8203,44.13,87,96,8.79,overcast clouds
92,Kavaratti,IN,10.5669,72.642,82.22,74,100,15.32,overcast clouds
93,Namatanai,PG,-3.6667,152.4333,84.56,69,54,3.56,light rain
94,Ulladulla,AU,-35.35,150.4667,58.87,44,0,3.15,clear sky
95,Udachnyy,RU,66.4167,112.4,72.45,37,45,7.2,scattered clouds
96,Lebedinyy,RU,58.5167,125.5167,57.99,55,5,8.5,clear sky
97,Chachapoyas,PE,-6.2317,-77.869,54.01,95,92,3.56,light rain
98,Neiafu,TO,-18.65,-173.9833,81.28,74,40,11.5,scattered clouds
99,Natal,BR,-5.795,-35.2094,79.02,83,20,8.05,few clouds
100,Atar,MR,20.5169,-13.0499,88.65,33,87,10.2,overcast clouds
101,Hami,CN,42.8,93.45,89.37,20,0,2.86,clear sky
102,Butaritari,KI,3.0707,172.7902,83.75,71,12,13.31,few clouds
103,Chuy,UY,-33.6971,-53.4616,42.39,80,58,6.35,broken clouds
104,Gillette,US,44.2911,-105.5022,83.32,39,75,4.0,broken clouds
105,Prince Rupert,CA,54.3161,-130.3201,71.69,74,20,4.61,few clouds
106,Castro,BR,-24.7911,-50.0119,34.86,59,4,2.04,clear sky
