City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Pasuruan,ID,78.69,broken clouds,-7.6453,112.9075,Pasuruan Hotel
198,Dutse,NG,74.05,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
200,Hualmay,PE,63.88,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
201,Tautira,PF,80.62,few clouds,-17.7333,-149.15,Pension Oaoa
203,La Macarena,CO,70.23,scattered clouds,2.1837,-73.7849,Hotel Punto Verde
204,Mandalgovi,MN,66.06,clear sky,45.7625,106.2708,В.Ганбат
205,Bikin,RU,73.04,light rain,46.8161,134.26,Azhur
206,Katsuura,JP,84.31,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
207,Alta Floresta,BR,71.42,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
208,Alyangula,AU,78.67,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
209,Long,TH,84.6,overcast clouds,18.0761,99.8326,Nopphakoe Homestay
210,Shitanjing,CN,83.41,clear sky,39.2342,106.3439,
211,Kluang,MY,78.53,scattered clouds,2.0251,103.3328,Hotel Anika
212,Camocim,BR,76.68,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
213,Dwarka,IN,82.04,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
214,Chandpur,IN,77.34,overcast clouds,29.15,78.2667,A.A.S Garments
216,Vostok,RU,69.89,overcast clouds,46.4856,135.8833,
217,The Valley,AI,82.81,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
218,Ribeira Grande,PT,70.59,clear sky,38.5167,-28.7,Quinta da Meia Eira
219,Dingle,PH,85.51,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
220,Sao Joao Da Barra,BR,61.38,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
221,Budogoshch,RU,58.64,few clouds,59.2816,32.4707,Piligrim
222,Along,IN,74.73,overcast clouds,28.1667,94.7667,Hotel West
223,Kavaratti,IN,82.33,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
224,Lyaskelya,RU,57.27,few clouds,61.7667,31.0167,Manor Cafe
226,Petropavlovka,RU,56.8,overcast clouds,50.6114,105.3196,Tuyaa
227,Nagua,DO,78.85,scattered clouds,19.3832,-69.8474,Hotel Cambri
228,La Ronge,CA,75.45,broken clouds,55.1001,-105.2842,Northland Motor Hotel
229,Saint-Pierre,RE,69.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
230,Natitingou,BJ,71.65,few clouds,10.3042,1.3796,Auberge Centrale
232,Asyut,EG,82.58,overcast clouds,27.181,31.1837,Florence Hotel Assiut
233,San Quintin,MX,73.17,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
234,Ahipara,NZ,62.64,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
235,Hervey Bay,AU,69.91,clear sky,-25.2986,152.8535,Shelly Bay Resort
237,Loutros,GR,83.37,clear sky,40.5883,22.3994,
238,Sao Filipe,CV,75.49,broken clouds,14.8961,-24.4956,Hotel Xaguate
240,Port Lincoln,AU,62.06,clear sky,-34.7333,135.8667,Port Lincoln Hotel
244,Tiksi,RU,57.83,clear sky,71.6872,128.8694,Arktika
245,Pingliang,CN,84.07,clear sky,35.5392,106.6861,North Gate Hostel
246,Lam Luk Ka,TH,87.26,few clouds,13.9323,100.7494,Ban Fah Chom Pruek Phase 1
247,Sai Buri,TH,78.51,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
248,Emerald,AU,68.34,clear sky,-23.5333,148.1667,The Irish Village
249,Sabalgarh,IN,79.3,overcast clouds,26.25,77.4,Kailadevi studio
250,Yambio,SS,63.99,overcast clouds,4.5721,28.3955,Naivasha Hotel
254,Acarau,BR,77.86,broken clouds,-2.8856,-40.12,castelo pizzaria
255,Surt,LY,80.49,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
256,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
258,Okato,NZ,57.42,few clouds,-39.2,173.8833,Goodin Country Garden
259,Port Alfred,ZA,55.2,scattered clouds,-33.5906,26.891,The Halyards Hotel
260,High Level,CA,80.71,scattered clouds,58.5169,-117.136,Days Inn by Wyndham High Level
261,Mayo,US,82.56,mist,38.8876,-76.5119,Resorts Resource Group International
262,Avanigadda,IN,82.54,overcast clouds,16.0215,80.9181,AP Camping
263,Alice Springs,AU,74.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
264,Gigante,CO,68.22,broken clouds,2.3868,-75.5453,Bosques De Luna
265,Aleksandrov Gay,RU,76.24,overcast clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
266,Basco,PH,83.68,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
267,Srandakan,ID,79.16,broken clouds,-7.9386,110.2506,Puri Brata
268,Mangochi,MW,61.07,clear sky,-14.4782,35.2645,Fort Johnstone Hotel
269,Lermontovka,RU,75.88,light rain,47.1453,134.3383,
270,Adrar,MR,88.56,broken clouds,20.5022,-10.0711,
271,Santa Cruz,BO,62.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
272,Krasnoselkup,RU,55.35,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
273,Palu,ID,83.55,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
274,Chernyshevskiy,RU,68.74,clear sky,63.0128,112.4714,Chernyseyskiy
275,Ishigaki,JP,86.13,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
276,Altay,CN,74.64,broken clouds,47.8667,88.1167,Jinqiao Hotel
277,Maputo,MZ,62.28,few clouds,-25.9653,32.5892,Pestana Rovuma
278,Amapa,BR,71.26,few clouds,1.0,-52.0,
279,Praia Da Vitoria,PT,73.76,broken clouds,38.7333,-27.0667,Hotel Branco I
280,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
281,Barcelos,PT,63.28,clear sky,41.5388,-8.6151,Hotel Do Terço
282,Hvolsvollur,IS,56.8,scattered clouds,63.7533,-20.2243,Hotel Rangá
283,Vanimo,PG,85.28,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
284,Nobres,BR,59.16,clear sky,-14.7203,-56.3275,Hotel Portal Nobres
285,Minab,IR,87.3,few clouds,27.1467,57.0801,Bam campground
286,Bireun,ID,80.26,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
288,Shingu,JP,85.19,clear sky,33.7333,135.9833,Shingu UI Hotel
289,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
290,Boende,CD,73.54,broken clouds,-0.2167,20.8667,
291,Sanchor,IN,82.58,broken clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
292,Oga,IT,55.69,scattered clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
293,Pinawa,CA,71.35,broken clouds,50.1489,-95.8811,Pinawa Motel
294,Souillac,MU,69.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
295,Bani,DO,79.75,clear sky,18.2833,-70.3333,Hospedaje Henriquez
297,Arrecife,ES,71.67,clear sky,28.963,-13.5477,Hotel Lancelot
298,Keti Bandar,PK,81.95,overcast clouds,24.1447,67.4497,Haji laloo memon house
299,Bihac,BA,68.9,clear sky,44.8169,15.8708,Hotel Emporium
300,Labuhan,ID,80.8,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
301,Nouadhibou,MR,67.98,broken clouds,20.931,-17.0347,El Medina
302,Meulaboh,ID,77.92,overcast clouds,4.1363,96.1285,Kost Pria
303,Gambela,ET,70.59,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
304,Qingyuan,CN,86.92,overcast clouds,23.7,113.0333,Guojin Commercial Hotel
307,Shenjiamen,CN,80.89,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
310,Ulkan,RU,72.3,clear sky,57.243,107.3223,
311,Noumea,NC,78.78,clear sky,-22.2763,166.4572,Hôtel Le Lagon
313,Touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
314,Ovalle,CL,57.2,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
317,Someshwar,IN,76.37,overcast clouds,13.5,75.0667,Kadinamane Homestay
318,Klyuchevskiy,RU,66.54,clear sky,53.5317,119.4519,
319,Nemuro,JP,75.63,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
320,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
322,Udachnyy,RU,74.64,broken clouds,66.4167,112.4,Severnoye Siyaniye
323,Port-Cartier,CA,62.82,overcast clouds,50.0334,-66.8654,Le Q'Artier
324,Voh,NC,77.43,clear sky,-20.9667,164.7,Le gîte du Koniambo
325,Aksu,CN,88.72,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
326,Saint-Jean-De-Braye,FR,57.92,clear sky,47.913,1.9771,Novotel Orléans Saint-Jean-de-Braye
327,Saint-Joseph,RE,68.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
328,Raudeberg,NO,60.19,overcast clouds,61.9875,5.1352,Nordre Silda.
330,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
331,Ifakara,TZ,62.76,clear sky,-8.1333,36.6833,Tanzanian Training Centre for International Health
332,Sande,DE,60.01,scattered clouds,53.5049,8.0142,Auf dem alten Deich
334,Khovu-Aksy,RU,57.16,overcast clouds,51.1333,93.6,
337,Adre,TD,73.24,scattered clouds,13.4667,22.2,
338,Susehri,TR,56.73,few clouds,40.1644,38.0867,Su Vadi Hotel
339,Itarema,BR,78.13,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
341,Novoanninskiy,RU,67.39,overcast clouds,50.5287,42.6747,Sotnik
344,Mul,IN,75.63,overcast clouds,20.0667,79.6667,Taj Mahal
345,Byumba,RW,59.45,few clouds,-1.5763,30.0675,RGC206 [AIRTEL]
346,Quisqueya,DO,82.78,clear sky,18.5554,-69.4081,ElFuetazo del 13
347,Fort Nelson,CA,80.19,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
348,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
349,Sao Jose Da Coroa Grande,BR,74.25,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
350,Mutsu,JP,79.12,few clouds,41.2894,141.2169,Mutsu Park Hotel
352,Liverpool,GB,58.68,moderate rain,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
353,Birjand,IR,73.87,clear sky,32.8663,59.2211,Birjand Tourist Hotel
355,Mount Vernon,US,73.67,light rain,40.9126,-73.8371,Ramada by Wyndham Bronx
357,Sechura,PE,68.67,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
358,Dafeng,CN,85.53,overcast clouds,23.4517,108.5881,Shenglong Hotel
359,Imuris,MX,71.46,overcast clouds,30.7833,-110.8667,Hotel toro Hereford
360,Riyadh,SA,89.74,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
361,Gweta,BW,55.58,overcast clouds,-20.1833,25.2333,Gweta Lodge
364,Gwadar,PK,81.93,overcast clouds,25.1216,62.3254,Sadaf Resort
365,Moussoro,TD,78.93,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
366,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
367,Faya,SA,68.11,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
368,Sibut,CF,69.87,light rain,5.718,19.0739,
370,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
373,Thunder Bay,CA,71.58,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
374,Belaya Gora,RU,55.09,scattered clouds,68.5333,146.4167,
375,Kulhudhuffushi,MV,82.42,broken clouds,6.6221,73.07,Hondaafushi Island Resort
376,Port-Gentil,GA,76.41,broken clouds,-0.7193,8.7815,Fengshui Residence
377,Sorong,ID,83.14,scattered clouds,-0.8833,131.25,waigo splash hotel
380,Goderich,CA,69.91,clear sky,43.7501,-81.7165,Harmony Inn
383,Bondo,CD,69.91,overcast clouds,3.8146,23.6866,
384,Challans,FR,66.11,scattered clouds,46.8436,-1.8749,Citotel Le Challans
385,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
386,Rameswaram,IN,84.09,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
388,Geraldton,AU,63.12,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
389,Sinnamary,GF,78.35,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
390,Gbarnga,LR,69.8,broken clouds,6.9956,-9.4722,Passion Hotel 2
392,Dudinka,RU,55.99,light rain,69.4058,86.1778,Hotel Viktoria
393,Felanitx,ES,74.14,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
394,Thinadhoo,MV,81.73,overcast clouds,0.5333,72.9333,
395,Colac,AU,55.0,broken clouds,-38.3333,143.5833,Otway Gate Motel
396,Kloulklubed,PW,82.9,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
397,Owensboro,US,87.89,few clouds,37.7742,-87.1133,Courtyard by Marriott Owensboro
399,Narasaraopet,IN,82.36,overcast clouds,16.25,80.0667,AT International Lodge
400,Besikduzu,TR,76.89,clear sky,41.052,39.2284,YKT
401,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
402,Poum,NC,73.71,clear sky,-20.2333,164.0167,Gîte kajeon
403,Waddan,LY,77.52,clear sky,29.1614,16.139,محل الشريف محمد العايب
404,Tieli,CN,79.0,overcast clouds,46.95,128.05,Dynasty Hotel
405,Okhotsk,RU,61.99,scattered clouds,59.3833,143.3,
407,Kerema,PG,83.91,overcast clouds,-7.9631,145.7785,Frena Lodge
409,Boysun,UZ,72.91,clear sky,38.2061,67.1986,Gaza Hotel
410,Huarmey,PE,65.12,broken clouds,-10.0681,-78.1522,Hotel Miramar
411,Kawalu,ID,75.34,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
412,Faanui,PF,78.24,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
413,Svetlogorsk,BY,62.19,few clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
414,Dongsheng,CN,80.69,clear sky,39.8161,109.9776,Crowne Plaza Ordos
415,Grand Gaube,MU,69.39,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
416,High Rock,BS,84.22,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
417,Temirtau,KZ,55.65,few clouds,50.0544,72.9483,Bota Hotel
418,Treuchtlingen,DE,58.12,overcast clouds,48.95,10.9167,Gasthof Zum Goldenen Lamm
420,Soc Trang,VN,78.76,broken clouds,9.6033,105.98,Phu Quy Hotel
421,Matam,SN,82.4,clear sky,15.6175,-13.3303,Auberge Beelel Jeeri
423,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
424,Roma,US,68.88,mist,43.2128,-75.4557,Wingate By Wyndham Rome
425,Sosnovo-Ozerskoye,RU,62.83,overcast clouds,52.5249,111.5418,
426,Maheshwar,IN,74.44,overcast clouds,22.1833,75.5833,Hotel Kanchan Recreation
